“ID”,“DISCIPLINA”,“CONTEUDO”
1,C1,Apresentação da componente curricular ementas- bibliografias dentro do contexto do curso- metodologia- atividade interdisciplinar- apresentação dos alunos- visualização futura da profissão- aplicações- utilizações da unidade curricular- explicar procedimentos de avaliação e participação em aulas- atividades complementares- regimentos e portal do aluno- aplicação de avaliação diagnóstica. 
2,C1,Apresentação da componente curricular ementas- bibliografias dentro do contexto do curso- metodologia- atividade interdisciplinar- apresentação dos alunos- visualização futura da profissão- aplicações- utilizações da unidade curricular- explicar procedimentos de avaliação e participação em aulas- atividades complementares- regimentos e portal do aluno- aplicação de avaliação diagnóstica. 
3,C1,Apresentação dos principais conceitos da lógica de programação- a sua necessidade na criação de programas de computadores
4,C1,Apresentação dos principais conceitos da lógica de programação- a sua necessidade na criação de programas de computadores
5,C1,Fluxogramas- introdução a psudolinguagem atividades práticas.
6,C1,Fluxogramas- introdução a psudolinguagem atividades práticas.
7,C1,Fluxogramas- introdução a psudolinguagem atividades práticas.
8,C1,Fluxogramas- introdução a psudolinguagem atividades práticas.
9,C1,Conceitos básicos para a construção de algoritmos para computadores. Apresentação das expressões lógicas (Operadores relacionais- operadores lógicos e operadores aritméticos). Estrutura de decisão sua utilização junto à precedência dos operadores. Lista de exercícios para prática das expressões e estrutura de decisão.
10,C1,Conceitos básicos para a construção de algoritmos para computadores. Apresentação das expressões lógicas (Operadores relacionais- operadores lógicos e operadores aritméticos). Estrutura de decisão sua utilização junto à precedência dos operadores. Lista de exercícios para prática das expressões e estrutura de decisão.
11,C1,Conceitos básicos para a construção de algoritmos para computadores. Apresentação das expressões lógicas (Operadores relacionais- operadores lógicos e operadores aritméticos). Estrutura de decisão sua utilização junto à precedência dos operadores. Lista de exercícios para prática das expressões e estrutura de decisão.
12,C1,Conceitos básicos para a construção de algoritmos para computadores. Apresentação das expressões lógicas (Operadores relacionais- operadores lógicos e operadores aritméticos). Estrutura de decisão sua utilização junto à precedência dos operadores. Lista de exercícios para prática das expressões e estrutura de decisão.
13,C1,Descrição do funcionamento das estruturas de repetição. Demonstração das diferentes estruturas de repetição disponíveis- seus diferenças e melhores utilizações. Lista de exercícios para prática e uso das estruturas de repetição.
14,C1,Descrição do funcionamento das estruturas de repetição. Demonstração das diferentes estruturas de repetição disponíveis- seus diferenças e melhores utilizações. Lista de exercícios para prática e uso das estruturas de repetição.
15,C1,Descrição do funcionamento das estruturas de repetição. Demonstração das diferentes estruturas de repetição disponíveis- seus diferenças e melhores utilizações. Lista de exercícios para prática e uso das estruturas de repetição.
16,C1,Descrição do funcionamento das estruturas de repetição. Demonstração das diferentes estruturas de repetição disponíveis- seus diferenças e melhores utilizações. Lista de exercícios para prática e uso das estruturas de repetição.
17,C1,Descrição das estruturas de armazenamento unidimensional. Alocação de memória- indexação- utilização e formas de manipulação da estrutura. Utilização da estrutura de repetição para manipulação da estrutura de vetor. No período de 17/03 a 17/04- suspensão de aula presencial- devido ao plano de precaução do COVID-19
18,C1,Descrição das estruturas de armazenamento unidimensional. Alocação de memória- indexação- utilização e formas de manipulação da estrutura. Utilização da estrutura de repetição para manipulação da estrutura de vetor. No período de 17/03 a 17/04- suspensão de aula presencial- devido ao plano de precaução do COVID-19
19,C1,Descrição das estruturas de armazenamento unidimensional. Alocação de memória- indexação- utilização e formas de manipulação da estrutura. Utilização da estrutura de repetição para manipulação da estrutura de vetor. No período de 17/03 a 17/04- suspensão de aula presencial- devido ao plano de precaução do COVID-19
20,C1,Descrição das estruturas de armazenamento unidimensional. Alocação de memória- indexação- utilização e formas de manipulação da estrutura. Utilização da estrutura de repetição para manipulação da estrutura de vetor. No período de 17/03 a 17/04- suspensão de aula presencial- devido ao plano de precaução do COVID-19
21,C1,Atividade prática utilizando manipulação de vetores. Utilização de todos os conceitos de estruturas de repetição e estrutura de armazenamento unidimensional. No período de 17/03 a 31/03- suspensão de aula presencial- devido ao plano de precaução do COVID-19
22,C1,Atividade prática utilizando manipulação de vetores. Utilização de todos os conceitos de estruturas de repetição e estrutura de armazenamento unidimensional. No período de 17/03 a 31/03- suspensão de aula presencial- devido ao plano de precaução do COVID-19
23,C1,Atividade prática utilizando manipulação de vetores. Utilização de todos os conceitos de estruturas de repetição e estrutura de armazenamento unidimensional. No período de 17/03 a 31/03- suspensão de aula presencial- devido ao plano de precaução do COVID-19
24,C1,Atividade prática utilizando manipulação de vetores. Utilização de todos os conceitos de estruturas de repetição e estrutura de armazenamento unidimensional. No período de 17/03 a 31/03- suspensão de aula presencial- devido ao plano de precaução do COVID-19
25,C1,Revisão dos conteúdos ministrados- estruturas de decisão- repetição e vetores. No período de 17/03 a 31/03- suspensão de aula presencial- devido ao plano de precaução do COVID-19.
26,C1,Revisão dos conteúdos ministrados- estruturas de decisão- repetição e vetores. No período de 17/03 a 31/03- suspensão de aula presencial- devido ao plano de precaução do COVID-19.
27,C1,Revisão dos conteúdos ministrados- estruturas de decisão- repetição e vetores. No período de 17/03 a 31/03- suspensão de aula presencial- devido ao plano de precaução do COVID-19.
28,C1,Revisão dos conteúdos ministrados- estruturas de decisão- repetição e vetores. No período de 17/03 a 31/03- suspensão de aula presencial- devido ao plano de precaução do COVID-19.
29,C1,Exercícios de vetores e matrizes atividade para avaliação de conhecimentos adquiridos. A solução passo a passo será apresentada por vídeo conferência. Suspensão de aula presencial- devido ao plano de precaução do COVID-19.
30,C1,Exercícios de vetores e matrizes atividade para avaliação de conhecimentos adquiridos. A solução passo a passo será apresentada por vídeo conferência. Suspensão de aula presencial- devido ao plano de precaução do COVID-19.
31,C1,Exercícios de vetores e matrizes atividade para avaliação de conhecimentos adquiridos. A solução passo a passo será apresentada por vídeo conferência. Suspensão de aula presencial- devido ao plano de precaução do COVID-19.
32,C1,Exercícios de vetores e matrizes atividade para avaliação de conhecimentos adquiridos. A solução passo a passo será apresentada por vídeo conferência. Suspensão de aula presencial- devido ao plano de precaução do COVID-19.
33,C1,Exercícios de vetores e matrizes atividade para avaliação de conhecimentos adquiridos. A solução passo a passo será apresentada por vídeo conferência. Suspensão de aula presencial- devido ao plano de precaução do COVID-19.
34,C1, Formas de manipulação avançada de vetores e matrizes- apresentação de algoritmo simples para ordenação de vetor. Atividades que exercícios que apresentem situações problemas que devem ser resolvidas utilizando técnicas vistas anteriormente em aula. Suspensão de aula presencial devido a plano de precaução contra COVID-19.
35,C1, Formas de manipulação avançada de vetores e matrizes- apresentação de algoritmo simples para ordenação de vetor. Atividades que exercícios que apresentem situações problemas que devem ser resolvidas utilizando técnicas vistas anteriormente em aula. Suspensão de aula presencial devido a plano de precaução contra COVID-19.
36,C1, Formas de manipulação avançada de vetores e matrizes- apresentação de algoritmo simples para ordenação de vetor. Atividades que exercícios que apresentem situações problemas que devem ser resolvidas utilizando técnicas vistas anteriormente em aula. Suspensão de aula presencial devido a plano de precaução contra COVID-19.
37,C1, Formas de manipulação avançada de vetores e matrizes- apresentação de algoritmo simples para ordenação de vetor. Atividades que exercícios que apresentem situações problemas que devem ser resolvidas utilizando técnicas vistas anteriormente em aula. Suspensão de aula presencial devido a plano de precaução contra COVID-19.
38,C1,Atividade avaliativa. Suspensão de aula presencial- devido ao plano de precaução do COVID-19.
39,C1,Atividade avaliativa. Suspensão de aula presencial- devido ao plano de precaução do COVID-19.
40,C1,Atividade avaliativa. Suspensão de aula presencial- devido ao plano de precaução do COVID-19.
41,C1,Atividade avaliativa. Suspensão de aula presencial- devido ao plano de precaução do COVID-19.
